 >TARCYLCAP  cylinder with end-caps: Length= 97.3000 Diameter= 17.6000
     27008 = NAT
  1.000000  0.000000  0.000000 = A_1 vector
  0.000000  1.000000  0.000000 = A_2 vector
  1.000000  1.000000  1.000000 = lattice spacings (d_x,d_y,d_z)/d
 -49.00000  -0.50000  -0.50000 = lattice offset x0(1-3) = (x_TF,y_TF,z_TF)/d for dipole 0 0 0
     JA  IX  IY  IZ ICOMP(x,y,z)
    681   2  -1  -7 1 1 1
    682   3  -1  -7 1 1 1
    683   4  -1  -7 1 1 1
    684   5  -1  -7 1 1 1
    685   6  -1  -7 1 1 1
    686   7  -1  -7 1 1 1
    687   8  -1  -7 1 1 1
    688   9  -1  -7 1 1 1
    689  10  -1  -7 1 1 1
    690  11  -1  -7 1 1 1
    691  12  -1  -7 1 1 1
    692  13  -1  -7 1 1 1
    693  14  -1  -7 1 1 1
    694  15  -1  -7 1 1 1
    695  16  -1  -7 1 1 1
    696  17  -1  -7 1 1 1
    697  18  -1  -7 1 1 1
    698  19  -1  -7 1 1 1
    699  20  -1  -7 1 1 1
    700  21  -1  -7 1 1 1
    701  22  -1  -7 1 1 1
    702  23  -1  -7 1 1 1
    703  24  -1  -7 1 1 1
    704  25  -1  -7 1 1 1
    705  26  -1  -7 1 1 1
    706  27  -1  -7 1 1 1
    707  28  -1  -7 1 1 1
    708  29  -1  -7 1 1 1
    709  30  -1  -7 1 1 1
    710  31  -1  -7 1 1 1
    711  32  -1  -7 1 1 1
    712  33  -1  -7 1 1 1
    713  34  -1  -7 1 1 1
    714  35  -1  -7 1 1 1
    715  36  -1  -7 1 1 1
    716  37  -1  -7 1 1 1
    717  38  -1  -7 1 1 1
    718  39  -1  -7 1 1 1
    719  40  -1  -7 1 1 1
    720  41  -1  -7 1 1 1
    721  42  -1  -7 1 1 1
    722  43  -1  -7 1 1 1
    723  44  -1  -7 1 1 1
    724  45  -1  -7 1 1 1
    725  46  -1  -7 1 1 1
    726  47  -1  -7 1 1 1
    727  48  -1  -7 1 1 1
    728  49  -1  -7 1 1 1
    729  50  -1  -7 1 1 1
    730  51  -1  -7 1 1 1
    731  52  -1  -7 1 1 1
    732  53  -1  -7 1 1 1
    733  54  -1  -7 1 1 1
    734  55  -1  -7 1 1 1
    735  56  -1  -7 1 1 1
    736  57  -1  -7 1 1 1
    737  58  -1  -7 1 1 1
    738  59  -1  -7 1 1 1
    739  60  -1  -7 1 1 1
    740  61  -1  -7 1 1 1
    741  62  -1  -7 1 1 1
    742  63  -1  -7 1 1 1
    743  64  -1  -7 1 1 1
    744  65  -1  -7 1 1 1
    745  66  -1  -7 1 1 1
    746  67  -1  -7 1 1 1
    747  68  -1  -7 1 1 1
